,question,question_id,question_type,answer
7,What to do in case of emergency or overdose of Cefaclor ?,0000205-9,emergency or overdose,
8,What other information should I know about Cefaclor ?,0000205-10,other information,
9,What are the brand names of Cefaclor ?,0000205-11,brand names,
0,Who should get Cefadroxil and why is it prescribed ?,0000206-1,indication,
1,How should Cefadroxil be used and what is the dosage ?,0000206-2,usage,
2,Are there safety concerns or special precautions about Cefadroxil ?,0000206-3,precautions,
3,What special dietary instructions should I follow with Cefadroxil ?,0000206-4,dietary,
4,What should I do if I forget a dose of Cefadroxil ?,0000206-5,forget a dose,
5,What are the side effects or risks of Cefadroxil ?,0000206-6,side effects,
6,What should I know about storage and disposal of Cefadroxil ?,0000206-7,storage and disposal,
7,What to do in case of emergency or overdose of Cefadroxil ?,0000206-8,emergency or overdose,
8,What other information should I know about Cefadroxil ?,0000206-9,other information,
9,What are the brand names of Cefadroxil ?,0000206-10,brand names,
0,Who should get Cefazolin Injection and why is it prescribed ?,0000207-1,indication,
1,How should Cefazolin Injection be used and what is the dosage ?,0000207-2,usage,
2,Are there safety concerns or special precautions about Cefazolin Injection ?,0000207-4,precautions,
3,What special dietary instructions should I follow with Cefazolin Injection ?,0000207-5,dietary,
4,What should I do if I forget a dose of Cefazolin Injection ?,0000207-6,forget a dose,
5,What are the side effects or risks of Cefazolin Injection ?,0000207-7,side effects,
6,What should I know about storage and disposal of Cefazolin Injection ?,0000207-8,storage and disposal,
7,What to do in case of emergency or overdose of Cefazolin Injection ?,0000207-9,emergency or overdose,
8,What other information should I know about Cefazolin Injection ?,0000207-10,other information,
9,What are the brand names of Cefazolin Injection ?,0000207-11,brand names,
0,Who should get Cefdinir and why is it prescribed ?,0000208-1,indication,
1,How should Cefdinir be used and what is the dosage ?,0000208-2,usage,
2,Are there safety concerns or special precautions about Cefdinir ?,0000208-3,precautions,
3,What special dietary instructions should I follow with Cefdinir ?,0000208-4,dietary,
4,What should I do if I forget a dose of Cefdinir ?,0000208-5,forget a dose,
5,What are the side effects or risks of Cefdinir ?,0000208-6,side effects,
6,What should I know about storage and disposal of Cefdinir ?,0000208-7,storage and disposal,
7,What to do in case of emergency or overdose of Cefdinir ?,0000208-8,emergency or overdose,
8,What other information should I know about Cefdinir ?,0000208-9,other information,
9,What are the brand names of Cefdinir ?,0000208-10,brand names,
0,Who should get Cefditoren and why is it prescribed ?,0000209-1,indication,
1,How should Cefditoren be used and what is the dosage ?,0000209-2,usage,
2,Are there safety concerns or special precautions about Cefditoren ?,0000209-4,precautions,
3,What special dietary instructions should I follow with Cefditoren ?,0000209-5,dietary,
4,What should I do if I forget a dose of Cefditoren ?,0000209-6,forget a dose,
5,What are the side effects or risks of Cefditoren ?,0000209-7,side effects,
6,What should I know about storage and disposal of Cefditoren ?,0000209-8,storage and disposal,
7,What to do in case of emergency or overdose of Cefditoren ?,0000209-9,emergency or overdose,
8,What other information should I know about Cefditoren ?,0000209-10,other information,
9,What are the brand names of Cefditoren ?,0000209-11,brand names,
0,Who should get Cefepime Injection and why is it prescribed ?,0000210-1,indication,
1,How should Cefepime Injection be used and what is the dosage ?,0000210-2,usage,
2,Are there safety concerns or special precautions about Cefepime Injection ?,0000210-4,precautions,
3,What special dietary instructions should I follow with Cefepime Injection ?,0000210-5,dietary,
4,What should I do if I forget a dose of Cefepime Injection ?,0000210-6,forget a dose,
5,What are the side effects or risks of Cefepime Injection ?,0000210-7,side effects,
6,What should I know about storage and disposal of Cefepime Injection ?,0000210-8,storage and disposal,
7,What to do in case of emergency or overdose of Cefepime Injection ?,0000210-9,emergency or overdose,
8,What other information should I know about Cefepime Injection ?,0000210-10,other information,
9,What are the brand names of Cefepime Injection ?,0000210-11,brand names,
0,Who should get Cefixime and why is it prescribed ?,0000211-1,indication,
1,How should Cefixime be used and what is the dosage ?,0000211-2,usage,
2,Are there safety concerns or special precautions about Cefixime ?,0000211-3,precautions,
3,What special dietary instructions should I follow with Cefixime ?,0000211-4,dietary,
4,What should I do if I forget a dose of Cefixime ?,0000211-5,forget a dose,
5,What are the side effects or risks of Cefixime ?,0000211-6,side effects,
6,What should I know about storage and disposal of Cefixime ?,0000211-7,storage and disposal,
7,What to do in case of emergency or overdose of Cefixime ?,0000211-8,emergency or overdose,
8,What other information should I know about Cefixime ?,0000211-9,other information,
9,What are the brand names of Cefixime ?,0000211-10,brand names,
0,Who should get Cefotaxime Injection and why is it prescribed ?,0000212-1,indication,
1,How should Cefotaxime Injection be used and what is the dosage ?,0000212-2,usage,
2,Are there safety concerns or special precautions about Cefotaxime Injection ?,0000212-4,precautions,
3,What special dietary instructions should I follow with Cefotaxime Injection ?,0000212-5,dietary,
4,What should I do if I forget a dose of Cefotaxime Injection ?,0000212-6,forget a dose,
5,What are the side effects or risks of Cefotaxime Injection ?,0000212-7,side effects,
6,What should I know about storage and disposal of Cefotaxime Injection ?,0000212-8,storage and disposal,
7,What to do in case of emergency or overdose of Cefotaxime Injection ?,0000212-9,emergency or overdose,
8,What other information should I know about Cefotaxime Injection ?,0000212-10,other information,
9,What are the brand names of Cefotaxime Injection ?,0000212-11,brand names,
0,Who should get Cefotetan Injection and why is it prescribed ?,0000213-1,indication,
1,How should Cefotetan Injection be used and what is the dosage ?,0000213-2,usage,
2,Are there safety concerns or special precautions about Cefotetan Injection ?,0000213-4,precautions,
3,What special dietary instructions should I follow with Cefotetan Injection ?,0000213-5,dietary,
4,What should I do if I forget a dose of Cefotetan Injection ?,0000213-6,forget a dose,
5,What are the side effects or risks of Cefotetan Injection ?,0000213-7,side effects,
6,What should I know about storage and disposal of Cefotetan Injection ?,0000213-8,storage and disposal,
7,What to do in case of emergency or overdose of Cefotetan Injection ?,0000213-9,emergency or overdose,
8,What other information should I know about Cefotetan Injection ?,0000213-10,other information,
9,What are the brand names of Cefotetan Injection ?,0000213-11,brand names,
0,Who should get Cefoxitin Injection and why is it prescribed ?,0000214-1,indication,
1,How should Cefoxitin Injection be used and what is the dosage ?,0000214-2,usage,
2,Are there safety concerns or special precautions about Cefoxitin Injection ?,0000214-4,precautions,
3,What special dietary instructions should I follow with Cefoxitin Injection ?,0000214-5,dietary,
4,What should I do if I forget a dose of Cefoxitin Injection ?,0000214-6,forget a dose,
5,What are the side effects or risks of Cefoxitin Injection ?,0000214-7,side effects,
6,What should I know about storage and disposal of Cefoxitin Injection ?,0000214-8,storage and disposal,
7,What to do in case of emergency or overdose of Cefoxitin Injection ?,0000214-9,emergency or overdose,
8,What other information should I know about Cefoxitin Injection ?,0000214-10,other information,
9,What are the brand names of Cefoxitin Injection ?,0000214-11,brand names,
0,Who should get Cefpodoxime and why is it prescribed ?,0000215-1,indication,
1,How should Cefpodoxime be used and what is the dosage ?,0000215-2,usage,
2,Are there safety concerns or special precautions about Cefpodoxime ?,0000215-3,precautions,
3,What special dietary instructions should I follow with Cefpodoxime ?,0000215-4,dietary,
4,What should I do if I forget a dose of Cefpodoxime ?,0000215-5,forget a dose,
5,What are the side effects or risks of Cefpodoxime ?,0000215-6,side effects,
6,What should I know about storage and disposal of Cefpodoxime ?,0000215-7,storage and disposal,
7,What to do in case of emergency or overdose of Cefpodoxime ?,0000215-8,emergency or overdose,
8,What other information should I know about Cefpodoxime ?,0000215-9,other information,
9,What are the brand names of Cefpodoxime ?,0000215-10,brand names,
0,Who should get Cefprozil and why is it prescribed ?,0000216-1,indication,
1,How should Cefprozil be used and what is the dosage ?,0000216-2,usage,
2,Are there safety concerns or special precautions about Cefprozil ?,0000216-4,precautions,
3,What special dietary instructions should I follow with Cefprozil ?,0000216-5,dietary,
4,What should I do if I forget a dose of Cefprozil ?,0000216-6,forget a dose,
5,What are the side effects or risks of Cefprozil ?,0000216-7,side effects,
6,What should I know about storage and disposal of Cefprozil ?,0000216-8,storage and disposal,
7,What to do in case of emergency or overdose of Cefprozil ?,0000216-9,emergency or overdose,
8,What other information should I know about Cefprozil ?,0000216-10,other information,
9,What are the brand names of Cefprozil ?,0000216-11,brand names,
0,Who should get Ceftaroline Injection and why is it prescribed ?,0000217-1,indication,
1,How should Ceftaroline Injection be used and what is the dosage ?,0000217-2,usage,
2,Are there safety concerns or special precautions about Ceftaroline Injection ?,0000217-4,precautions,
3,What special dietary instructions should I follow with Ceftaroline Injection ?,0000217-5,dietary,
4,What should I do if I forget a dose of Ceftaroline Injection ?,0000217-6,forget a dose,
5,What are the side effects or risks of Ceftaroline Injection ?,0000217-7,side effects,
6,What should I know about storage and disposal of Ceftaroline Injection ?,0000217-8,storage and disposal,
7,What to do in case of emergency or overdose of Ceftaroline Injection ?,0000217-9,emergency or overdose,
8,What other information should I know about Ceftaroline Injection ?,0000217-10,other information,
9,What are the brand names of Ceftaroline Injection ?,0000217-11,brand names,
0,Are there safety concerns or special precautions about Ceftazidime and Avibactam Injection ?,0000218-1,precautions,
1,Who should get Ceftazidime and Avibactam Injection and why is it prescribed ?,0000218-2,indication,
2,How should Ceftazidime and Avibactam Injection be used and what is the dosage ?,0000218-3,usage,
3,Are there safety concerns or special precautions about Ceftazidime and Avibactam Injection ?,0000218-5,precautions,
4,What special dietary instructions should I follow with Ceftazidime and Avibactam Injection ?,0000218-6,dietary,
5,What are the side effects or risks of Ceftazidime and Avibactam Injection ?,0000218-7,side effects,
6,What to do in case of emergency or overdose of Ceftazidime and Avibactam Injection ?,0000218-8,emergency or overdose,
7,What other information should I know about Ceftazidime and Avibactam Injection ?,0000218-9,other information,
8,What are the brand names of Ceftazidime and Avibactam Injection ?,0000218-10,brand names,
0,Who should get Ceftazidime Injection and why is it prescribed ?,0000219-1,indication,
1,How should Ceftazidime Injection be used and what is the dosage ?,0000219-2,usage,
2,Are there safety concerns or special precautions about Ceftazidime Injection ?,0000219-4,precautions,
3,What special dietary instructions should I follow with Ceftazidime Injection ?,0000219-5,dietary,
4,What should I do if I forget a dose of Ceftazidime Injection ?,0000219-6,forget a dose,
5,What are the side effects or risks of Ceftazidime Injection ?,0000219-7,side effects,
6,What should I know about storage and disposal of Ceftazidime Injection ?,0000219-8,storage and disposal,
7,What to do in case of emergency or overdose of Ceftazidime Injection ?,0000219-9,emergency or overdose,
8,What other information should I know about Ceftazidime Injection ?,0000219-10,other information,
9,What are the brand names of Ceftazidime Injection ?,0000219-11,brand names,
0,Who should get Ceftibuten and why is it prescribed ?,0000220-1,indication,
1,How should Ceftibuten be used and what is the dosage ?,0000220-2,usage,
2,Are there safety concerns or special precautions about Ceftibuten ?,0000220-3,precautions,
3,What special dietary instructions should I follow with Ceftibuten ?,0000220-4,dietary,
4,What should I do if I forget a dose of Ceftibuten ?,0000220-5,forget a dose,
5,What are the side effects or risks of Ceftibuten ?,0000220-6,side effects,
6,What should I know about storage and disposal of Ceftibuten ?,0000220-7,storage and disposal,
7,What to do in case of emergency or overdose of Ceftibuten ?,0000220-8,emergency or overdose,
8,What other information should I know about Ceftibuten ?,0000220-9,other information,
9,What are the brand names of Ceftibuten ?,0000220-10,brand names,
0,Who should get Ceftolozane and Tazobactam Injection and why is it prescribed ?,0000221-1,indication,
1,How should Ceftolozane and Tazobactam Injection be used and what is the dosage ?,0000221-2,usage,
2,Are there safety concerns or special precautions about Ceftolozane and Tazobactam Injection ?,0000221-4,precautions,
3,What special dietary instructions should I follow with Ceftolozane and Tazobactam Injection ?,0000221-5,dietary,
4,What are the side effects or risks of Ceftolozane and Tazobactam Injection ?,0000221-6,side effects,
5,What other information should I know about Ceftolozane and Tazobactam Injection ?,0000221-7,other information,
6,What are the brand names of Ceftolozane and Tazobactam Injection ?,0000221-8,brand names,
0,Who should get Ceftriaxone Injection and why is it prescribed ?,0000222-1,indication,
1,How should Ceftriaxone Injection be used and what is the dosage ?,0000222-2,usage,
2,Are there safety concerns or special precautions about Ceftriaxone Injection ?,0000222-4,precautions,
3,What special dietary instructions should I follow with Ceftriaxone Injection ?,0000222-5,dietary,
4,What should I do if I forget a dose of Ceftriaxone Injection ?,0000222-6,forget a dose,
5,What are the side effects or risks of Ceftriaxone Injection ?,0000222-7,side effects,
6,What should I know about storage and disposal of Ceftriaxone Injection ?,0000222-8,storage and disposal,
7,What to do in case of emergency or overdose of Ceftriaxone Injection ?,0000222-9,emergency or overdose,
8,What other information should I know about Ceftriaxone Injection ?,0000222-10,other information,
9,What are the brand names of Ceftriaxone Injection ?,0000222-11,brand names,
0,Who should get Cefuroxime and why is it prescribed ?,0000223-1,indication,
1,How should Cefuroxime be used and what is the dosage ?,0000223-2,usage,
2,Are there safety concerns or special precautions about Cefuroxime ?,0000223-4,precautions,
3,What special dietary instructions should I follow with Cefuroxime ?,0000223-5,dietary,
4,What should I do if I forget a dose of Cefuroxime ?,0000223-6,forget a dose,
5,What are the side effects or risks of Cefuroxime ?,0000223-7,side effects,
6,What should I know about storage and disposal of Cefuroxime ?,0000223-8,storage and disposal,
7,What to do in case of emergency or overdose of Cefuroxime ?,0000223-9,emergency or overdose,
8,What other information should I know about Cefuroxime ?,0000223-10,other information,
9,What are the brand names of Cefuroxime ?,0000223-11,brand names,
0,Who should get Cefuroxime Injection and why is it prescribed ?,0000224-1,indication,
1,How should Cefuroxime Injection be used and what is the dosage ?,0000224-2,usage,
2,Are there safety concerns or special precautions about Cefuroxime Injection ?,0000224-4,precautions,
3,What special dietary instructions should I follow with Cefuroxime Injection ?,0000224-5,dietary,
4,What should I do if I forget a dose of Cefuroxime Injection ?,0000224-6,forget a dose,
5,What are the side effects or risks of Cefuroxime Injection ?,0000224-7,side effects,
6,What should I know about storage and disposal of Cefuroxime Injection ?,0000224-8,storage and disposal,
7,What to do in case of emergency or overdose of Cefuroxime Injection ?,0000224-9,emergency or overdose,
8,What other information should I know about Cefuroxime Injection ?,0000224-10,other information,
9,What are the brand names of Cefuroxime Injection ?,0000224-11,brand names,
0,Are there safety concerns or special precautions about Celecoxib ?,0000225-1,precautions,
1,What important warning or information should I know about Celecoxib ?,0000225-2,important warning,
2,Who should get Celecoxib and why is it prescribed ?,0000225-3,indication,
3,How should Celecoxib be used and what is the dosage ?,0000225-4,usage,
4,Are there safety concerns or special precautions about Celecoxib ?,0000225-6,precautions,
5,What special dietary instructions should I follow with Celecoxib ?,0000225-7,dietary,
6,What should I do if I forget a dose of Celecoxib ?,0000225-8,forget a dose,
7,What are the side effects or risks of Celecoxib ?,0000225-9,side effects,
8,What should I know about storage and disposal of Celecoxib ?,0000225-10,storage and disposal,
9,What to do in case of emergency or overdose of Celecoxib ?,0000225-11,emergency or overdose,
10,What other information should I know about Celecoxib ?,0000225-12,other information,
11,What are the brand names of Celecoxib ?,0000225-13,brand names,
0,Who should get Cephalexin and why is it prescribed ?,0000226-1,indication,
1,How should Cephalexin be used and what is the dosage ?,0000226-2,usage,
2,Are there safety concerns or special precautions about Cephalexin ?,0000226-3,precautions,
3,What special dietary instructions should I follow with Cephalexin ?,0000226-4,dietary,
4,What should I do if I forget a dose of Cephalexin ?,0000226-5,forget a dose,
5,What are the side effects or risks of Cephalexin ?,0000226-6,side effects,
6,What should I know about storage and disposal of Cephalexin ?,0000226-7,storage and disposal,
7,What to do in case of emergency or overdose of Cephalexin ?,0000226-8,emergency or overdose,
8,What other information should I know about Cephalexin ?,0000226-9,other information,
9,What are the brand names of Cephalexin ?,0000226-10,brand names,
0,Who should get Ceritinib and why is it prescribed ?,0000227-1,indication,
1,How should Ceritinib be used and what is the dosage ?,0000227-2,usage,
2,Are there safety concerns or special precautions about Ceritinib ?,0000227-4,precautions,
3,What special dietary instructions should I follow with Ceritinib ?,0000227-5,dietary,
4,What should I do if I forget a dose of Ceritinib ?,0000227-6,forget a dose,
5,What are the side effects or risks of Ceritinib ?,0000227-7,side effects,
6,What should I know about storage and disposal of Ceritinib ?,0000227-8,storage and disposal,
7,What other information should I know about Ceritinib ?,0000227-9,other information,
8,What are the brand names of Ceritinib ?,0000227-10,brand names,
0,What important warning or information should I know about Certolizumab Injection ?,0000228-1,important warning,
1,Who should get Certolizumab Injection and why is it prescribed ?,0000228-2,indication,
2,How should Certolizumab Injection be used and what is the dosage ?,0000228-3,usage,
3,Are there safety concerns or special precautions about Certolizumab Injection ?,0000228-5,precautions,
4,What special dietary instructions should I follow with Certolizumab Injection ?,0000228-6,dietary,
5,What should I do if I forget a dose of Certolizumab Injection ?,0000228-7,forget a dose,
6,What are the side effects or risks of Certolizumab Injection ?,0000228-8,side effects,
7,What should I know about storage and disposal of Certolizumab Injection ?,0000228-9,storage and disposal,
8,What to do in case of emergency or overdose of Certolizumab Injection ?,0000228-10,emergency or overdose,
9,What other information should I know about Certolizumab Injection ?,0000228-11,other information,
10,What are the brand names of Certolizumab Injection ?,0000228-12,brand names,
0,Who should get Cetirizine and why is it prescribed ?,0000229-1,indication,
1,How should Cetirizine be used and what is the dosage ?,0000229-2,usage,
2,Are there safety concerns or special precautions about Cetirizine ?,0000229-4,precautions,
3,What special dietary instructions should I follow with Cetirizine ?,0000229-5,dietary,
4,What should I do if I forget a dose of Cetirizine ?,0000229-6,forget a dose,
5,What are the side effects or risks of Cetirizine ?,0000229-7,side effects,
6,What should I know about storage and disposal of Cetirizine ?,0000229-8,storage and disposal,
7,What to do in case of emergency or overdose of Cetirizine ?,0000229-9,emergency or overdose,
8,What other information should I know about Cetirizine ?,0000229-10,other information,
9,What are the brand names of Cetirizine ?,0000229-11,brand names,
10,What are the brand names of combination products of Cetirizine ?,0000229-12,brand names of combination products,
0,What important warning or information should I know about Cetuximab Injection ?,0000230-1,important warning,
1,Who should get Cetuximab Injection and why is it prescribed ?,0000230-2,indication,
2,How should Cetuximab Injection be used and what is the dosage ?,0000230-3,usage,
3,Are there safety concerns or special precautions about Cetuximab Injection ?,0000230-5,precautions,
4,What special dietary instructions should I follow with Cetuximab Injection ?,0000230-6,dietary,
5,What should I do if I forget a dose of Cetuximab Injection ?,0000230-7,forget a dose,
6,What are the side effects or risks of Cetuximab Injection ?,0000230-8,side effects,
7,What to do in case of emergency or overdose of Cetuximab Injection ?,0000230-9,emergency or overdose,
8,What other information should I know about Cetuximab Injection ?,0000230-10,other information,
9,What are the brand names of Cetuximab Injection ?,0000230-11,brand names,
0,Who should get Cevimeline and why is it prescribed ?,0000231-1,indication,
1,How should Cevimeline be used and what is the dosage ?,0000231-2,usage,
2,Are there safety concerns or special precautions about Cevimeline ?,0000231-4,precautions,
3,What special dietary instructions should I follow with Cevimeline ?,0000231-5,dietary,
4,What should I do if I forget a dose of Cevimeline ?,0000231-6,forget a dose,
5,What are the side effects or risks of Cevimeline ?,0000231-7,side effects,
6,What should I know about storage and disposal of Cevimeline ?,0000231-8,storage and disposal,
7,What to do in case of emergency or overdose of Cevimeline ?,0000231-9,emergency or overdose,
8,What other information should I know about Cevimeline ?,0000231-10,other information,
9,What are the brand names of Cevimeline ?,0000231-11,brand names,
0,Who should get Chloral Hydrate and why is it prescribed ?,0000232-1,indication,
1,How should Chloral Hydrate be used and what is the dosage ?,0000232-2,usage,
2,Are there safety concerns or special precautions about Chloral Hydrate ?,0000232-3,precautions,
3,What special dietary instructions should I follow with Chloral Hydrate ?,0000232-4,dietary,
4,What should I do if I forget a dose of Chloral Hydrate ?,0000232-5,forget a dose,
5,What are the side effects or risks of Chloral Hydrate ?,0000232-6,side effects,
6,What should I know about storage and disposal of Chloral Hydrate ?,0000232-7,storage and disposal,
7,What to do in case of emergency or overdose of Chloral Hydrate ?,0000232-8,emergency or overdose,
8,What other information should I know about Chloral Hydrate ?,0000232-9,other information,
9,What are the brand names of Chloral Hydrate ?,0000232-10,brand names,
0,What important warning or information should I know about Chlorambucil ?,0000233-1,important warning,
1,Who should get Chlorambucil and why is it prescribed ?,0000233-2,indication,
2,How should Chlorambucil be used and what is the dosage ?,0000233-3,usage,
3,Are there safety concerns or special precautions about Chlorambucil ?,0000233-5,precautions,
4,What special dietary instructions should I follow with Chlorambucil ?,0000233-6,dietary,
5,What should I do if I forget a dose of Chlorambucil ?,0000233-7,forget a dose,
6,What are the side effects or risks of Chlorambucil ?,0000233-8,side effects,
7,What should I know about storage and disposal of Chlorambucil ?,0000233-9,storage and disposal,
8,What to do in case of emergency or overdose of Chlorambucil ?,0000233-10,emergency or overdose,
9,What other information should I know about Chlorambucil ?,0000233-11,other information,
10,What are the brand names of Chlorambucil ?,0000233-12,brand names,
0,What important warning or information should I know about Chloramphenicol Injection ?,0000234-1,important warning,
1,Who should get Chloramphenicol Injection and why is it prescribed ?,0000234-2,indication,
2,How should Chloramphenicol Injection be used and what is the dosage ?,0000234-3,usage,
3,Are there safety concerns or special precautions about Chloramphenicol Injection ?,0000234-5,precautions,
4,What special dietary instructions should I follow with Chloramphenicol Injection ?,0000234-6,dietary,
5,What are the side effects or risks of Chloramphenicol Injection ?,0000234-7,side effects,
6,What to do in case of emergency or overdose of Chloramphenicol Injection ?,0000234-8,emergency or overdose,
7,What other information should I know about Chloramphenicol Injection ?,0000234-9,other information,
8,What are the brand names of Chloramphenicol Injection ?,0000234-10,brand names,
0,Who should get Chlordiazepoxide and why is it prescribed ?,0000235-1,indication,
1,How should Chlordiazepoxide be used and what is the dosage ?,0000235-2,usage,
2,Are there safety concerns or special precautions about Chlordiazepoxide ?,0000235-4,precautions,
3,What should I do if I forget a dose of Chlordiazepoxide ?,0000235-5,forget a dose,
4,What are the side effects or risks of Chlordiazepoxide ?,0000235-6,side effects,
5,What should I know about storage and disposal of Chlordiazepoxide ?,0000235-7,storage and disposal,
6,What to do in case of emergency or overdose of Chlordiazepoxide ?,0000235-8,emergency or overdose,
7,What other information should I know about Chlordiazepoxide ?,0000235-9,other information,
8,What are the brand names of Chlordiazepoxide ?,0000235-10,brand names,
9,What are the brand names of combination products of Chlordiazepoxide ?,0000235-11,brand names of combination products,
0,Who should get Chlordiazepoxide and Clidinium and why is it prescribed ?,0000236-1,indication,
1,How should Chlordiazepoxide and Clidinium be used and what is the dosage ?,0000236-2,usage,
2,Are there safety concerns or special precautions about Chlordiazepoxide and Clidinium ?,0000236-4,precautions,
3,What should I do if I forget a dose of Chlordiazepoxide and Clidinium ?,0000236-5,forget a dose,
4,What are the side effects or risks of Chlordiazepoxide and Clidinium ?,0000236-6,side effects,
5,What should I know about storage and disposal of Chlordiazepoxide and Clidinium ?,0000236-7,storage and disposal,
6,What to do in case of emergency or overdose of Chlordiazepoxide and Clidinium ?,0000236-8,emergency or overdose,
7,What other information should I know about Chlordiazepoxide and Clidinium ?,0000236-9,other information,
8,What are the brand names of combination products of Chlordiazepoxide and Clidinium ?,0000236-10,brand names of combination products,
0,Who should get Chloroquine Phosphate Oral and why is it prescribed ?,0000237-1,indication,
1,How should Chloroquine Phosphate Oral be used and what is the dosage ?,0000237-2,usage,
2,Are there safety concerns or special precautions about Chloroquine Phosphate Oral ?,0000237-4,precautions,
3,What special dietary instructions should I follow with Chloroquine Phosphate Oral ?,0000237-5,dietary,
4,What should I do if I forget a dose of Chloroquine Phosphate Oral ?,0000237-6,forget a dose,
5,What are the side effects or risks of Chloroquine Phosphate Oral ?,0000237-7,side effects,
6,What should I know about storage and disposal of Chloroquine Phosphate Oral ?,0000237-8,storage and disposal,
7,What to do in case of emergency or overdose of Chloroquine Phosphate Oral ?,0000237-9,emergency or overdose,
8,What other information should I know about Chloroquine Phosphate Oral ?,0000237-10,other information,
9,What are the brand names of Chloroquine Phosphate Oral ?,0000237-11,brand names,
0,Who should get Chlorothiazide and why is it prescribed ?,0000238-1,indication,
1,How should Chlorothiazide be used and what is the dosage ?,0000238-2,usage,
2,Are there safety concerns or special precautions about Chlorothiazide ?,0000238-4,precautions,
3,What special dietary instructions should I follow with Chlorothiazide ?,0000238-5,dietary,
4,What should I do if I forget a dose of Chlorothiazide ?,0000238-6,forget a dose,
5,What are the side effects or risks of Chlorothiazide ?,0000238-7,side effects,
6,What should I know about storage and disposal of Chlorothiazide ?,0000238-8,storage and disposal,
7,What to do in case of emergency or overdose of Chlorothiazide ?,0000238-9,emergency or overdose,
8,What other information should I know about Chlorothiazide ?,0000238-10,other information,
9,What are the brand names of Chlorothiazide ?,0000238-11,brand names,
10,What are the brand names of combination products of Chlorothiazide ?,0000238-12,brand names of combination products,
0,What important warning or information should I know about Chlorpheniramine ?,0000239-1,important warning,
1,Who should get Chlorpheniramine and why is it prescribed ?,0000239-2,indication,
2,How should Chlorpheniramine be used and what is the dosage ?,0000239-3,usage,
3,Are there safety concerns or special precautions about Chlorpheniramine ?,0000239-5,precautions,
4,What special dietary instructions should I follow with Chlorpheniramine ?,0000239-6,dietary,
5,What should I do if I forget a dose of Chlorpheniramine ?,0000239-7,forget a dose,
6,What are the side effects or risks of Chlorpheniramine ?,0000239-8,side effects,
7,What should I know about storage and disposal of Chlorpheniramine ?,0000239-9,storage and disposal,
8,What to do in case of emergency or overdose of Chlorpheniramine ?,0000239-10,emergency or overdose,
9,What other information should I know about Chlorpheniramine ?,0000239-11,other information,
10,What are the brand names of Chlorpheniramine ?,0000239-12,brand names,
11,What are the brand names of combination products of Chlorpheniramine ?,0000239-13,brand names of combination products,
0,What important warning or information should I know about Chlorpromazine ?,0000240-1,important warning,
1,Who should get Chlorpromazine and why is it prescribed ?,0000240-2,indication,
2,How should Chlorpromazine be used and what is the dosage ?,0000240-3,usage,
3,Are there safety concerns or special precautions about Chlorpromazine ?,0000240-5,precautions,
4,What special dietary instructions should I follow with Chlorpromazine ?,0000240-6,dietary,
5,What should I do if I forget a dose of Chlorpromazine ?,0000240-7,forget a dose,
6,What are the side effects or risks of Chlorpromazine ?,0000240-8,side effects,
7,What should I know about storage and disposal of Chlorpromazine ?,0000240-9,storage and disposal,
8,What to do in case of emergency or overdose of Chlorpromazine ?,0000240-10,emergency or overdose,
9,What other information should I know about Chlorpromazine ?,0000240-11,other information,
10,What are the brand names of Chlorpromazine ?,0000240-12,brand names,
0,Who should get Chlorpropamide and why is it prescribed ?,0000241-1,indication,
1,How should Chlorpropamide be used and what is the dosage ?,0000241-2,usage,
2,Are there safety concerns or special precautions about Chlorpropamide ?,0000241-4,precautions,
3,What special dietary instructions should I follow with Chlorpropamide ?,0000241-5,dietary,
4,What should I do if I forget a dose of Chlorpropamide ?,0000241-6,forget a dose,
5,What are the side effects or risks of Chlorpropamide ?,0000241-7,side effects,
6,What should I know about storage and disposal of Chlorpropamide ?,0000241-8,storage and disposal,
7,What to do in case of emergency or overdose of Chlorpropamide ?,0000241-9,emergency or overdose,
8,What other information should I know about Chlorpropamide ?,0000241-10,other information,
9,What are the brand names of Chlorpropamide ?,0000241-11,brand names,
0,Who should get Chlorthalidone and why is it prescribed ?,0000242-1,indication,
1,How should Chlorthalidone be used and what is the dosage ?,0000242-2,usage,
2,Are there safety concerns or special precautions about Chlorthalidone ?,0000242-4,precautions,
3,What special dietary instructions should I follow with Chlorthalidone ?,0000242-5,dietary,
4,What should I do if I forget a dose of Chlorthalidone ?,0000242-6,forget a dose,
5,What are the side effects or risks of Chlorthalidone ?,0000242-7,side effects,
6,What should I know about storage and disposal of Chlorthalidone ?,0000242-8,storage and disposal,
7,What to do in case of emergency or overdose of Chlorthalidone ?,0000242-9,emergency or overdose,
8,What other information should I know about Chlorthalidone ?,0000242-10,other information,
9,What are the brand names of Chlorthalidone ?,0000242-11,brand names,
10,What are the brand names of combination products of Chlorthalidone ?,0000242-12,brand names of combination products,
0,Who should get Chlorzoxazone and why is it prescribed ?,0000243-1,indication,
1,How should Chlorzoxazone be used and what is the dosage ?,0000243-2,usage,
2,Are there safety concerns or special precautions about Chlorzoxazone ?,0000243-4,precautions,
3,What should I do if I forget a dose of Chlorzoxazone ?,0000243-5,forget a dose,
4,What are the side effects or risks of Chlorzoxazone ?,0000243-6,side effects,
5,What should I know about storage and disposal of Chlorzoxazone ?,0000243-7,storage and disposal,
6,What to do in case of emergency or overdose of Chlorzoxazone ?,0000243-8,emergency or overdose,
