,question,question_id,question_type,answer
0,Do you have information about Amylase - blood,0000199-1,information,
0,Do you have information about Amylase - urine,0000200-1,information,
0,What is (are) Amyotrophic lateral sclerosis ?,0000201-1,information,
1,What causes Amyotrophic lateral sclerosis ?,0000201-2,causes,
2,What are the symptoms of Amyotrophic lateral sclerosis ?,0000201-3,symptoms,
3,How to diagnose Amyotrophic lateral sclerosis ?,0000201-4,exams and tests,
4,What are the treatments for Amyotrophic lateral sclerosis ?,0000201-5,treatment,
5,Where to find support for people with Amyotrophic lateral sclerosis ?,0000201-6,support groups,
6,What is the outlook for Amyotrophic lateral sclerosis ?,0000201-7,outlook,
7,What are the complications of Amyotrophic lateral sclerosis ?,0000201-8,complications,
8,Do I need to see a doctor for Amyotrophic lateral sclerosis ?,0000201-9,when to contact a medical professional,
9,How to prevent Amyotrophic lateral sclerosis ?,0000201-10,prevention,
0,Do you have information about Anaerobic,0000202-1,information,
0,What is (are) Anaerobic bacteria ?,0000203-1,information,
0,What is (are) Anal cancer ?,0000204-1,information,
1,What causes Anal cancer ?,0000204-2,causes,
2,What are the symptoms of Anal cancer ?,0000204-3,symptoms,
3,How to diagnose Anal cancer ?,0000204-4,exams and tests,
4,What are the treatments for Anal cancer ?,0000204-5,treatment,
5,Where to find support for people with Anal cancer ?,0000204-6,support groups,
6,What is the outlook for Anal cancer ?,0000204-7,outlook,
7,What are the complications of Anal cancer ?,0000204-8,complications,
8,Do I need to see a doctor for Anal cancer ?,0000204-9,when to contact a medical professional,
9,How to prevent Anal cancer ?,0000204-10,prevention,
0,What is (are) Anal fissure ?,0000205-1,information,
1,What causes Anal fissure ?,0000205-2,causes,
2,What are the symptoms of Anal fissure ?,0000205-3,symptoms,
3,How to diagnose Anal fissure ?,0000205-4,exams and tests,
4,What are the treatments for Anal fissure ?,0000205-5,treatment,
5,What is the outlook for Anal fissure ?,0000205-6,outlook,
0,What is (are) Anal itching - self-care ?,0000206-1,information,
1,What causes Anal itching - self-care ?,0000206-2,causes,
0,What is (are) Analgesic nephropathy ?,0000207-1,information,
1,What causes Analgesic nephropathy ?,0000207-2,causes,
2,What are the symptoms of Analgesic nephropathy ?,0000207-3,symptoms,
3,How to diagnose Analgesic nephropathy ?,0000207-4,exams and tests,
4,What are the treatments for Analgesic nephropathy ?,0000207-5,treatment,
5,What is the outlook for Analgesic nephropathy ?,0000207-6,outlook,
6,What are the complications of Analgesic nephropathy ?,0000207-7,complications,
7,Do I need to see a doctor for Analgesic nephropathy ?,0000207-8,when to contact a medical professional,
8,How to prevent Analgesic nephropathy ?,0000207-9,prevention,
0,What is (are) Anaphylaxis ?,0000208-1,information,
1,What causes Anaphylaxis ?,0000208-2,causes,
2,What are the symptoms of Anaphylaxis ?,0000208-3,symptoms,
3,How to diagnose Anaphylaxis ?,0000208-4,exams and tests,
4,What are the treatments for Anaphylaxis ?,0000208-5,treatment,
5,What is the outlook for Anaphylaxis ?,0000208-6,outlook,
6,What are the complications of Anaphylaxis ?,0000208-7,complications,
7,Do I need to see a doctor for Anaphylaxis ?,0000208-8,when to contact a medical professional,
8,How to prevent Anaphylaxis ?,0000208-9,prevention,
0,What is (are) Anaplastic thyroid cancer ?,0000209-1,information,
1,What causes Anaplastic thyroid cancer ?,0000209-2,causes,
2,What are the symptoms of Anaplastic thyroid cancer ?,0000209-3,symptoms,
3,How to diagnose Anaplastic thyroid cancer ?,0000209-4,exams and tests,
4,What are the treatments for Anaplastic thyroid cancer ?,0000209-5,treatment,
5,Where to find support for people with Anaplastic thyroid cancer ?,0000209-6,support groups,
6,What is the outlook for Anaplastic thyroid cancer ?,0000209-7,outlook,
7,What are the complications of Anaplastic thyroid cancer ?,0000209-8,complications,
8,Do I need to see a doctor for Anaplastic thyroid cancer ?,0000209-9,when to contact a medical professional,
0,What is (are) Anastomosis ?,0000210-1,information,
1,What is (are) Anastomosis ?,0000210-2,information,
0,What is (are) Androgen insensitivity syndrome ?,0000211-1,information,
1,What causes Androgen insensitivity syndrome ?,0000211-2,causes,
2,What are the symptoms of Androgen insensitivity syndrome ?,0000211-3,symptoms,
3,How to diagnose Androgen insensitivity syndrome ?,0000211-4,exams and tests,
4,What are the treatments for Androgen insensitivity syndrome ?,0000211-5,treatment,
5,What is the outlook for Androgen insensitivity syndrome ?,0000211-6,outlook,
6,What are the complications of Androgen insensitivity syndrome ?,0000211-7,complications,
7,Do I need to see a doctor for Androgen insensitivity syndrome ?,0000211-8,when to contact a medical professional,
0,What is (are) Anemia ?,0000212-1,information,
1,What causes Anemia ?,0000212-2,causes,
2,What are the symptoms of Anemia ?,0000212-3,symptoms,
3,How to diagnose Anemia ?,0000212-4,exams and tests,
4,What are the treatments for Anemia ?,0000212-5,treatment,
5,What are the complications of Anemia ?,0000212-6,complications,
6,Do I need to see a doctor for Anemia ?,0000212-7,when to contact a medical professional,
0,What is (are) Anemia - B12 deficiency ?,0000213-1,information,
1,What causes Anemia - B12 deficiency ?,0000213-2,causes,
2,What are the symptoms of Anemia - B12 deficiency ?,0000213-3,symptoms,
3,How to diagnose Anemia - B12 deficiency ?,0000213-4,exams and tests,
4,What are the treatments for Anemia - B12 deficiency ?,0000213-5,treatment,
5,What is the outlook for Anemia - B12 deficiency ?,0000213-6,outlook,
6,What are the complications of Anemia - B12 deficiency ?,0000213-7,complications,
7,Do I need to see a doctor for Anemia - B12 deficiency ?,0000213-8,when to contact a medical professional,
8,How to prevent Anemia - B12 deficiency ?,0000213-9,prevention,
0,What is (are) Anemia caused by low iron - children ?,0000214-1,information,
1,What causes Anemia caused by low iron - children ?,0000214-2,causes,
2,What are the symptoms of Anemia caused by low iron - children ?,0000214-3,symptoms,
3,How to diagnose Anemia caused by low iron - children ?,0000214-4,exams and tests,
4,What are the treatments for Anemia caused by low iron - children ?,0000214-5,treatment,
5,What is the outlook for Anemia caused by low iron - children ?,0000214-6,outlook,
6,What are the complications of Anemia caused by low iron - children ?,0000214-7,complications,
7,How to prevent Anemia caused by low iron - children ?,0000214-8,prevention,
0,What is (are) Anemia caused by low iron - infants and toddlers ?,0000215-1,information,
1,What causes Anemia caused by low iron - infants and toddlers ?,0000215-2,causes,
2,What are the symptoms of Anemia caused by low iron - infants and toddlers ?,0000215-3,symptoms,
3,How to diagnose Anemia caused by low iron - infants and toddlers ?,0000215-4,exams and tests,
4,What are the treatments for Anemia caused by low iron - infants and toddlers ?,0000215-5,treatment,
5,What is the outlook for Anemia caused by low iron - infants and toddlers ?,0000215-6,outlook,
6,What are the complications of Anemia caused by low iron - infants and toddlers ?,0000215-7,complications,
7,How to prevent Anemia caused by low iron - infants and toddlers ?,0000215-8,prevention,
0,What is (are) Anemia of chronic disease ?,0000216-1,information,
1,What causes Anemia of chronic disease ?,0000216-2,causes,
2,What are the symptoms of Anemia of chronic disease ?,0000216-3,symptoms,
3,How to diagnose Anemia of chronic disease ?,0000216-4,exams and tests,
4,What are the treatments for Anemia of chronic disease ?,0000216-5,treatment,
5,What is the outlook for Anemia of chronic disease ?,0000216-6,outlook,
6,What are the complications of Anemia of chronic disease ?,0000216-7,complications,
7,Do I need to see a doctor for Anemia of chronic disease ?,0000216-8,when to contact a medical professional,
0,What is (are) Anencephaly ?,0000217-1,information,
1,What causes Anencephaly ?,0000217-2,causes,
2,What are the symptoms of Anencephaly ?,0000217-3,symptoms,
3,How to diagnose Anencephaly ?,0000217-4,exams and tests,
4,What are the treatments for Anencephaly ?,0000217-5,treatment,
5,What is the outlook for Anencephaly ?,0000217-6,outlook,
6,Do I need to see a doctor for Anencephaly ?,0000217-7,when to contact a medical professional,
7,How to prevent Anencephaly ?,0000217-8,prevention,
0,What is (are) Anesthesia - what to ask your doctor - adult ?,0000218-1,information,
0,What is (are) Anesthesia - what to ask your doctor - child ?,0000219-1,information,
0,What is (are) Aneurysm ?,0000220-1,information,
1,What causes Aneurysm ?,0000220-2,causes,
2,What are the symptoms of Aneurysm ?,0000220-3,symptoms,
3,How to diagnose Aneurysm ?,0000220-4,exams and tests,
4,What are the treatments for Aneurysm ?,0000220-5,treatment,
5,Do I need to see a doctor for Aneurysm ?,0000220-6,when to contact a medical professional,
6,How to prevent Aneurysm ?,0000220-7,prevention,
0,What is (are) Aneurysm in the brain ?,0000221-1,information,
1,What causes Aneurysm in the brain ?,0000221-2,causes,
2,What are the symptoms of Aneurysm in the brain ?,0000221-3,symptoms,
3,How to diagnose Aneurysm in the brain ?,0000221-4,exams and tests,
4,What are the treatments for Aneurysm in the brain ?,0000221-5,treatment,
5,What is the outlook for Aneurysm in the brain ?,0000221-6,outlook,
6,What are the complications of Aneurysm in the brain ?,0000221-7,complications,
7,Do I need to see a doctor for Aneurysm in the brain ?,0000221-8,when to contact a medical professional,
8,How to prevent Aneurysm in the brain ?,0000221-9,prevention,
0,What is (are) Angelman syndrome ?,0000222-1,information,
1,What causes Angelman syndrome ?,0000222-2,causes,
2,What are the symptoms of Angelman syndrome ?,0000222-3,symptoms,
3,How to diagnose Angelman syndrome ?,0000222-4,exams and tests,
4,What are the treatments for Angelman syndrome ?,0000222-5,treatment,
5,Where to find support for people with Angelman syndrome ?,0000222-6,support groups,
6,What is the outlook for Angelman syndrome ?,0000222-7,outlook,
7,What are the complications of Angelman syndrome ?,0000222-8,complications,
8,Do I need to see a doctor for Angelman syndrome ?,0000222-9,when to contact a medical professional,
9,How to prevent Angelman syndrome ?,0000222-10,prevention,
0,What is (are) Angina ?,0000223-1,information,
0,What is (are) Angina - discharge ?,0000224-1,information,
1,What is the outlook for Angina - discharge ?,0000224-2,outlook,
2,Do I need to see a doctor for Angina - discharge ?,0000224-6,when to contact a medical professional,
0,What is (are) Angina - what to ask your doctor ?,0000225-1,information,
0,What is (are) Angina - when you have chest pain ?,0000226-1,information,
1,What are the treatments for Angina - when you have chest pain ?,0000226-2,treatment,
2,Who is at risk for Angina - when you have chest pain? ?,0000226-3,susceptibility,
3,Do I need to see a doctor for Angina - when you have chest pain ?,0000226-4,when to contact a medical professional,
0,Do you have information about Angiodysplasia of the colon,0000227-1,information,
0,What is (are) Angioedema ?,0000228-1,information,
1,What causes Angioedema ?,0000228-2,causes,
2,What are the symptoms of Angioedema ?,0000228-3,symptoms,
3,How to diagnose Angioedema ?,0000228-4,exams and tests,
4,What are the treatments for Angioedema ?,0000228-5,treatment,
5,What is the outlook for Angioedema ?,0000228-6,outlook,
6,Do I need to see a doctor for Angioedema ?,0000228-7,when to contact a medical professional,
0,Do you have information about Angioplasty and stent - heart - discharge,0000229-1,information,
0,Do you have information about Angioplasty and stent placement - carotid artery,0000230-1,information,
0,Do you have information about Angioplasty and stent placement - carotid artery - discharge,0000231-1,information,
0,Do you have information about Angioplasty and stent placement - heart,0000232-1,information,
0,Do you have information about Angioplasty and stent placement - peripheral arteries - discharge,0000233-1,information,
0,Do you have information about Angioplasty and stent placement -- peripheral arteries,0000234-1,information,
0,What is (are) Animal bites - self-care ?,0000235-1,information,
1,What causes Animal bites - self-care ?,0000235-2,causes,
2,What are the symptoms of Animal bites - self-care ?,0000235-3,symptoms,
3,What are the complications of Animal bites - self-care ?,0000235-6,complications,
4,How to prevent Animal bites - self-care ?,0000235-7,prevention,
5,Do I need to see a doctor for Animal bites - self-care ?,0000235-8,when to contact a medical professional,
0,What is (are) Anisocoria ?,0000236-1,information,
1,What to do for Anisocoria ?,0000236-2,considerations,
2,What causes Anisocoria ?,0000236-3,causes,
3,What to do for Anisocoria ?,0000236-4,considerations,
4,Do I need to see a doctor for Anisocoria ?,0000236-5,when to contact a medical professional,
5,What is the outlook for Anisocoria ?,0000236-6,outlook,
0,Do you have information about Ankle arthroscopy,0000237-1,information,
0,What is (are) Ankle fracture - aftercare ?,0000238-1,information,
1,What is (are) Ankle fracture - aftercare ?,0000238-2,information,
2,What is the outlook for Ankle fracture - aftercare ?,0000238-3,outlook,
3,Do I need to see a doctor for Ankle fracture - aftercare ?,0000238-7,when to contact a medical professional,
0,What is (are) Ankle pain ?,0000239-1,information,
1,What causes Ankle pain ?,0000239-2,causes,
2,What to do for Ankle pain ?,0000239-3,considerations,
3,Do I need to see a doctor for Ankle pain ?,0000239-4,when to contact a medical professional,
0,What is (are) Ankle replacement ?,0000240-1,information,
1,What is (are) Ankle replacement ?,0000240-2,information,
2,Who is at risk for Ankle replacement? ?,0000240-4,susceptibility,
3,What is the outlook for Ankle replacement ?,0000240-7,outlook,
0,What is (are) Ankle replacement - discharge ?,0000241-1,information,
1,What is the outlook for Ankle replacement - discharge ?,0000241-2,outlook,
2,Do I need to see a doctor for Ankle replacement - discharge ?,0000241-6,when to contact a medical professional,
0,What is (are) Ankle sprain - aftercare ?,0000242-1,information,
1,What is (are) Ankle sprain - aftercare ?,0000242-2,information,
2,What is the outlook for Ankle sprain - aftercare ?,0000242-3,outlook,
3,Do I need to see a doctor for Ankle sprain - aftercare ?,0000242-6,when to contact a medical professional,
0,What is (are) Ankylosing spondylitis ?,0000243-1,information,
1,What causes Ankylosing spondylitis ?,0000243-2,causes,
2,What are the symptoms of Ankylosing spondylitis ?,0000243-3,symptoms,
3,How to diagnose Ankylosing spondylitis ?,0000243-4,exams and tests,
4,What are the treatments for Ankylosing spondylitis ?,0000243-5,treatment,
5,What is the outlook for Ankylosing spondylitis ?,0000243-6,outlook,
6,Do I need to see a doctor for Ankylosing spondylitis ?,0000243-7,when to contact a medical professional,
0,What is (are) Annular pancreas ?,0000244-1,information,
1,What causes Annular pancreas ?,0000244-2,causes,
2,What are the symptoms of Annular pancreas ?,0000244-3,symptoms,
3,How to diagnose Annular pancreas ?,0000244-4,exams and tests,
4,What are the treatments for Annular pancreas ?,0000244-5,treatment,
5,What is the outlook for Annular pancreas ?,0000244-6,outlook,
6,What are the complications of Annular pancreas ?,0000244-7,complications,
7,Do I need to see a doctor for Annular pancreas ?,0000244-8,when to contact a medical professional,
0,Do you have information about Anomalous left coronary artery from the pulmonary artery,0000245-1,information,
0,What is (are) Anorchia ?,0000246-1,information,
1,What causes Anorchia ?,0000246-2,causes,
2,What are the symptoms of Anorchia ?,0000246-3,symptoms,
3,How to diagnose Anorchia ?,0000246-4,exams and tests,
4,What are the treatments for Anorchia ?,0000246-5,treatment,
5,What is the outlook for Anorchia ?,0000246-6,outlook,
6,What are the complications of Anorchia ?,0000246-7,complications,
7,Do I need to see a doctor for Anorchia ?,0000246-8,when to contact a medical professional,
0,What is (are) Anorectal abscess ?,0000247-1,information,
1,What causes Anorectal abscess ?,0000247-2,causes,
2,What are the symptoms of Anorectal abscess ?,0000247-3,symptoms,
3,How to diagnose Anorectal abscess ?,0000247-4,exams and tests,
4,What are the treatments for Anorectal abscess ?,0000247-5,treatment,
5,What is the outlook for Anorectal abscess ?,0000247-6,outlook,
6,What are the complications of Anorectal abscess ?,0000247-7,complications,
7,Do I need to see a doctor for Anorectal abscess ?,0000247-8,when to contact a medical professional,
8,How to prevent Anorectal abscess ?,0000247-9,prevention,
0,What is (are) Anorexia nervosa ?,0000248-1,information,
1,What causes Anorexia nervosa ?,0000248-2,causes,
2,What are the symptoms of Anorexia nervosa ?,0000248-3,symptoms,
3,How to diagnose Anorexia nervosa ?,0000248-4,exams and tests,
4,What are the treatments for Anorexia nervosa ?,0000248-5,treatment,
5,Where to find support for people with Anorexia nervosa ?,0000248-6,support groups,
6,What is the outlook for Anorexia nervosa ?,0000248-7,outlook,
7,What are the complications of Anorexia nervosa ?,0000248-8,complications,
8,Do I need to see a doctor for Anorexia nervosa ?,0000248-9,when to contact a medical professional,
0,Do you have information about Anoscopy,0000249-1,information,
0,Do you have information about Anterior,0000250-1,information,
0,What is (are) Anterior cruciate ligament (ACL) injury ?,0000251-1,information,
1,What to do for Anterior cruciate ligament (ACL) injury ?,0000251-2,considerations,
2,What causes Anterior cruciate ligament (ACL) injury ?,0000251-3,causes,
3,What are the symptoms of Anterior cruciate ligament (ACL) injury ?,0000251-4,symptoms,
4,What to do for Anterior cruciate ligament (ACL) injury ?,0000251-5,considerations,
5,What to do for Anterior cruciate ligament (ACL) injury ?,0000251-6,considerations,
6,Do I need to see a doctor for Anterior cruciate ligament (ACL) injury ?,0000251-7,when to contact a medical professional,
7,How to prevent Anterior cruciate ligament (ACL) injury ?,0000251-8,prevention,
0,What is (are) Anterior cruciate ligament (ACL) injury - aftercare ?,0000252-1,information,
1,What is (are) Anterior cruciate ligament (ACL) injury - aftercare ?,0000252-2,information,
2,What is the outlook for Anterior cruciate ligament (ACL) injury - aftercare ?,0000252-3,outlook,
3,Do I need to see a doctor for Anterior cruciate ligament (ACL) injury - aftercare ?,0000252-6,when to contact a medical professional,
0,What is (are) Anterior knee pain ?,0000253-1,information,
1,What causes Anterior knee pain ?,0000253-2,causes,
2,What are the symptoms of Anterior knee pain ?,0000253-3,symptoms,
3,How to diagnose Anterior knee pain ?,0000253-4,exams and tests,
4,What are the treatments for Anterior knee pain ?,0000253-5,treatment,
5,What is the outlook for Anterior knee pain ?,0000253-6,outlook,
6,Do I need to see a doctor for Anterior knee pain ?,0000253-7,when to contact a medical professional,
0,Do you have information about Anterior vaginal wall repair,0000254-1,information,
0,What is (are) Anthrax ?,0000255-1,information,
1,What causes Anthrax ?,0000255-2,causes,
2,What are the symptoms of Anthrax ?,0000255-3,symptoms,
3,How to diagnose Anthrax ?,0000255-4,exams and tests,
4,What are the treatments for Anthrax ?,0000255-5,treatment,
5,What is the outlook for Anthrax ?,0000255-6,outlook,
6,Do I need to see a doctor for Anthrax ?,0000255-7,when to contact a medical professional,
7,How to prevent Anthrax ?,0000255-8,prevention,
0,What is (are) Anthrax blood test ?,0000256-1,information,
1,Who is at risk for Anthrax blood test? ?,0000256-8,susceptibility,
2,What to do for Anthrax blood test ?,0000256-9,considerations,
0,Do you have information about Anti-DNase B blood test,0000257-1,information,
0,Do you have information about Anti-glomerular basement membrane blood test,0000258-1,information,
0,Do you have information about Anti-insulin antibody test,0000259-1,information,
0,What is (are) Anti-reflux surgery ?,0000260-1,information,
1,What is (are) Anti-reflux surgery ?,0000260-2,information,
2,Who is at risk for Anti-reflux surgery? ?,0000260-4,susceptibility,
3,What is the outlook for Anti-reflux surgery ?,0000260-7,outlook,
0,What is (are) Anti-reflux surgery - children ?,0000261-1,information,
1,What is (are) Anti-reflux surgery - children ?,0000261-2,information,
2,Who is at risk for Anti-reflux surgery - children? ?,0000261-4,susceptibility,
3,What is the outlook for Anti-reflux surgery - children ?,0000261-7,outlook,
0,What is (are) Anti-reflux surgery - children - discharge ?,0000262-1,information,
1,What is the outlook for Anti-reflux surgery - children - discharge ?,0000262-2,outlook,
2,Do I need to see a doctor for Anti-reflux surgery - children - discharge ?,0000262-5,when to contact a medical professional,
0,What is (are) Anti-reflux surgery - discharge ?,0000263-1,information,
1,What is the outlook for Anti-reflux surgery - discharge ?,0000263-2,outlook,
2,Do I need to see a doctor for Anti-reflux surgery - discharge ?,0000263-5,when to contact a medical professional,
0,Do you have information about Anti-rust product poisoning,0000264-1,information,
0,Do you have information about Anti-smooth muscle antibody,0000265-1,information,
0,Do you have information about Antibody,0000266-1,information,
0,Do you have information about Antibody titer,0000267-1,information,
0,Do you have information about Anticoagulant rodenticides poisoning,0000268-1,information,
0,What is (are) Antidiarrheal drug overdose ?,0000269-1,information,
1,What are the symptoms of Antidiarrheal drug overdose ?,0000269-4,symptoms,
2,What to do for Antidiarrheal drug overdose ?,0000269-5,considerations,
3,What is the outlook for Antidiarrheal drug overdose ?,0000269-8,outlook,
4,What is the outlook for Antidiarrheal drug overdose ?,0000269-9,outlook,
0,Do you have information about Antidiuretic hormone blood test,0000270-1,information,
0,What is (are) Antifreeze poisoning ?,0000271-1,information,
1,What are the symptoms of Antifreeze poisoning ?,0000271-4,symptoms,
2,What to do for Antifreeze poisoning ?,0000271-5,considerations,
3,What is the outlook for Antifreeze poisoning ?,0000271-8,outlook,
4,What is the outlook for Antifreeze poisoning ?,0000271-9,outlook,
0,Do you have information about Antigen,0000272-1,information,
0,What is (are) Antihistamines for allergies ?,0000273-1,information,
1,Do I need to see a doctor for Antihistamines for allergies ?,0000273-6,when to contact a medical professional,
0,Do you have information about Antimitochondrial antibody,0000274-1,information,
0,Do you have information about Antinuclear antibody panel,0000275-1,information,
0,Do you have information about Antiparietal cell antibody test,0000276-1,information,
0,What is (are) Antisocial personality disorder ?,0000277-1,information,
1,What causes Antisocial personality disorder ?,0000277-2,causes,
2,What are the symptoms of Antisocial personality disorder ?,0000277-3,symptoms,
3,How to diagnose Antisocial personality disorder ?,0000277-4,exams and tests,
4,What are the treatments for Antisocial personality disorder ?,0000277-5,treatment,
5,What is the outlook for Antisocial personality disorder ?,0000277-6,outlook,
6,What are the complications of Antisocial personality disorder ?,0000277-7,complications,
7,Do I need to see a doctor for Antisocial personality disorder ?,0000277-8,when to contact a medical professional,
0,Do you have information about Antistreptolysin O titer,0000278-1,information,
0,Do you have information about Antithrombin III blood test,0000279-1,information,
0,Do you have information about Antithyroglobulin antibody,0000280-1,information,
0,Do you have information about Antithyroid microsomal antibody,0000281-1,information,
0,Do you have information about Aortic aneurysm repair - endovascular,0000282-1,information,
0,Do you have information about Aortic aneurysm repair - endovascular - discharge,0000283-1,information,
0,Do you have information about Aortic angiography,0000284-1,information,
0,What is (are) Aortic arch syndrome ?,0000285-1,information,
1,What causes Aortic arch syndrome ?,0000285-2,causes,
2,What are the symptoms of Aortic arch syndrome ?,0000285-3,symptoms,
3,What are the treatments for Aortic arch syndrome ?,0000285-4,treatment,
0,What is (are) Aortic dissection ?,0000286-1,information,
1,What causes Aortic dissection ?,0000286-2,causes,
2,What are the symptoms of Aortic dissection ?,0000286-3,symptoms,
3,How to diagnose Aortic dissection ?,0000286-4,exams and tests,
4,What are the treatments for Aortic dissection ?,0000286-5,treatment,
5,What is the outlook for Aortic dissection ?,0000286-6,outlook,
6,What are the complications of Aortic dissection ?,0000286-7,complications,
7,Do I need to see a doctor for Aortic dissection ?,0000286-8,when to contact a medical professional,
8,How to prevent Aortic dissection ?,0000286-9,prevention,
0,What is (are) Aortic insufficiency ?,0000287-1,information,
1,What causes Aortic insufficiency ?,0000287-2,causes,
2,What are the symptoms of Aortic insufficiency ?,0000287-3,symptoms,
3,How to diagnose Aortic insufficiency ?,0000287-4,exams and tests,
4,What are the treatments for Aortic insufficiency ?,0000287-5,treatment,
5,What is the outlook for Aortic insufficiency ?,0000287-6,outlook,
6,What are the complications of Aortic insufficiency ?,0000287-7,complications,
7,Do I need to see a doctor for Aortic insufficiency ?,0000287-8,when to contact a medical professional,
8,How to prevent Aortic insufficiency ?,0000287-9,prevention,
0,What is (are) Aortic stenosis ?,0000288-1,information,
1,What causes Aortic stenosis ?,0000288-2,causes,
2,What are the symptoms of Aortic stenosis ?,0000288-3,symptoms,
3,How to diagnose Aortic stenosis ?,0000288-4,exams and tests,
4,What are the treatments for Aortic stenosis ?,0000288-5,treatment,
5,What is the outlook for Aortic stenosis ?,0000288-6,outlook,
6,Do I need to see a doctor for Aortic stenosis ?,0000288-7,when to contact a medical professional,
0,Do you have information about Aortic valve surgery - minimally invasive,0000289-1,information,
0,Do you have information about Aortic valve surgery - open,0000290-1,information,
0,What is (are) Aortopulmonary window ?,0000291-1,information,
1,What causes Aortopulmonary window ?,0000291-2,causes,
2,What are the symptoms of Aortopulmonary window ?,0000291-3,symptoms,
3,How to diagnose Aortopulmonary window ?,0000291-4,exams and tests,
4,What are the treatments for Aortopulmonary window ?,0000291-5,treatment,
5,What is the outlook for Aortopulmonary window ?,0000291-6,outlook,
6,What are the complications of Aortopulmonary window ?,0000291-7,complications,
7,Do I need to see a doctor for Aortopulmonary window ?,0000291-8,when to contact a medical professional,
8,How to prevent Aortopulmonary window ?,0000291-9,prevention,
0,What is (are) Apert syndrome ?,0000292-1,information,
1,What causes Apert syndrome ?,0000292-2,causes,
2,What are the symptoms of Apert syndrome ?,0000292-3,symptoms,
3,How to diagnose Apert syndrome ?,0000292-4,exams and tests,
4,What are the treatments for Apert syndrome ?,0000292-5,treatment,
5,Where to find support for people with Apert syndrome ?,0000292-6,support groups,
6,Do I need to see a doctor for Apert syndrome ?,0000292-7,when to contact a medical professional,
7,How to prevent Apert syndrome ?,0000292-8,prevention,
0,Do you have information about Apgar score,0000293-1,information,
0,Do you have information about Aplastic,0000294-1,information,
0,What is (are) Aplastic anemia ?,0000295-1,information,
1,What causes Aplastic anemia ?,0000295-2,causes,
2,What are the symptoms of Aplastic anemia ?,0000295-3,symptoms,
3,How to diagnose Aplastic anemia ?,0000295-4,exams and tests,
4,What are the treatments for Aplastic anemia ?,0000295-5,treatment,
5,What is the outlook for Aplastic anemia ?,0000295-6,outlook,
6,What are the complications of Aplastic anemia ?,0000295-7,complications,
7,Do I need to see a doctor for Aplastic anemia ?,0000295-8,when to contact a medical professional,
0,What is (are) Apnea of prematurity ?,0000296-1,information,
1,What causes Apnea of prematurity ?,0000296-2,causes,
2,What are the symptoms of Apnea of prematurity ?,0000296-3,symptoms,
3,How to diagnose Apnea of prematurity ?,0000296-4,exams and tests,
4,What are the treatments for Apnea of prematurity ?,0000296-5,treatment,
5,What is the outlook for Apnea of prematurity ?,0000296-6,outlook,
0,Do you have information about Apolipoprotein B100,0000297-1,information,
0,Do you have information about Apolipoprotein CII,0000298-1,information,
0,What is (are) Apoplexy ?,0000299-1,information,
0,Do you have information about Appendectomy,0000300-1,information,
0,What is (are) Appendicitis ?,0000301-1,information,
1,What causes Appendicitis ?,0000301-2,causes,
2,What are the symptoms of Appendicitis ?,0000301-3,symptoms,
3,How to diagnose Appendicitis ?,0000301-4,exams and tests,
4,What are the treatments for Appendicitis ?,0000301-5,treatment,
5,What is the outlook for Appendicitis ?,0000301-6,outlook,
6,Do I need to see a doctor for Appendicitis ?,0000301-7,when to contact a medical professional,
0,Do you have information about Appetite - decreased,0000302-1,information,
0,Do you have information about Appetite - increased,0000303-1,information,
0,What is (are) Appropriate for gestational age (AGA) ?,0000304-1,information,
1,What is (are) Appropriate for gestational age (AGA) ?,0000304-2,information,
0,What is (are) Apraxia ?,0000305-1,information,
1,What causes Apraxia ?,0000305-2,causes,
2,What are the symptoms of Apraxia ?,0000305-3,symptoms,
3,How to diagnose Apraxia ?,0000305-4,exams and tests,
4,What are the treatments for Apraxia ?,0000305-5,treatment,
5,What is the outlook for Apraxia ?,0000305-6,outlook,
6,What are the complications of Apraxia ?,0000305-7,complications,
7,Do I need to see a doctor for Apraxia ?,0000305-8,when to contact a medical professional,
8,How to prevent Apraxia ?,0000305-9,prevention,
0,What is (are) Arachnodactyly ?,0000306-1,information,
1,What to do for Arachnodactyly ?,0000306-2,considerations,
2,What causes Arachnodactyly ?,0000306-3,causes,
3,Do I need to see a doctor for Arachnodactyly ?,0000306-4,when to contact a medical professional,
4,What is the outlook for Arachnodactyly ?,0000306-5,outlook,
0,What is (are) Are You Getting Too Much Exercise? ?,0000307-1,information,
0,Do you have information about Arm CT scan,0000308-1,information,
0,Do you have information about Arm MRI scan,0000309-1,information,
0,What is (are) Armpit lump ?,0000310-1,information,
1,What causes Armpit lump ?,0000310-2,causes,
2,What to do for Armpit lump ?,0000310-3,considerations,
3,Do I need to see a doctor for Armpit lump ?,0000310-4,when to contact a medical professional,
4,What is the outlook for Armpit lump ?,0000310-5,outlook,
0,What is (are) Arrhenoblastoma of ovary ?,0000311-1,information,
1,What causes Arrhenoblastoma of ovary ?,0000311-2,causes,
2,What are the symptoms of Arrhenoblastoma of ovary ?,0000311-3,symptoms,
3,How to diagnose Arrhenoblastoma of ovary ?,0000311-4,exams and tests,
4,What are the treatments for Arrhenoblastoma of ovary ?,0000311-5,treatment,
5,Where to find support for people with Arrhenoblastoma of ovary ?,0000311-6,support groups,
6,What is the outlook for Arrhenoblastoma of ovary ?,0000311-7,outlook,
